time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-12-30T23:04:55.440Z,5.353,94.485,30,4.9,mwc,51,168.1,,0.89,us,usp000dc84,2016-11-10T00:57:11.710Z,"northern Sumatra, Indonesia",earthquake,,,,,reviewed,us,hrv
2004-12-30T22:24:09.050Z,8.556,93.731,30,4.5,mb,14,208.8,,1.44,us,usp000dc83,2014-11-07T01:24:27.643Z,"Nicobar Islands, India region",earthquake,,,,14,reviewed,us,us
2004-12-30T22:21:58.700Z,-33.403,-68.59,4.7,4.3,ml,19,113.7,,,us,usp000dc82,2014-11-07T01:24:27.641Z,"Mendoza, Argentina",earthquake,,,,,reviewed,guc,guc
2004-12-30T22:17:56.020Z,-6.124,-106.842,10,4.7,mb,28,150.7,,1.28,us,usp000dc81,2014-11-07T01:24:27.637Z,"central East Pacific Rise",earthquake,,,,19,reviewed,us,us
2004-12-30T21:37:51.991Z,67.5557,-158.459,10,3,ml,,,,0.84,ak,ak004grzvtgf,2019-02-13T02:12:51.622Z,"northern Alaska",earthquake,,0,,,reviewed,ak,ak
2004-12-30T21:36:01.870Z,5.287,94.538,30,5.4,mwc,157,59.4,,0.75,us,usp000dc7z,2016-11-10T00:57:11.204Z,"northern Sumatra, Indonesia",earthquake,,,,,reviewed,us,hrv
2004-12-30T21:32:38.160Z,53.774,-165.18,54.1,2.6,ml,19,217.6,,,us,usp000dc7y,2019-02-13T02:12:39.889Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,aeic
2004-12-30T21:09:19.700Z,-32.78,-71.611,56.8,3.3,md,21,189.1,,,us,usp000dc7x,2014-11-07T01:24:27.615Z,"offshore Valparaiso, Chile",earthquake,,,,,reviewed,guc,guc
2004-12-30T21:00:40.850Z,-16.613,-175.835,218.2,4.5,mb,26,183.7,,1.26,us,usp000dc7w,2014-11-07T01:24:27.610Z,"Tonga",earthquake,,15.1,,8,reviewed,us,us
2004-12-30T20:50:28.790Z,51.498,16.198,5,3.1,ml,20,129.4,,1.01,us,usp000dc7v,2014-11-07T01:24:27.607Z,"Poland",earthquake,,,,,reviewed,us,zamg
2004-12-30T20:40:41.400Z,43.263,13.547,5,3.2,ml,81,123.8,,,us,usp000dc7u,2014-11-07T01:24:27.599Z,"central Italy",earthquake,,,,,reviewed,rom,ldg
2004-12-30T20:30:02.710Z,46.1993333,-122.1896667,-1.604,2.5,md,10,106,0.002846,0.33,uw,uw10646408,2016-07-23T03:07:48.390Z,"Mount St. Helens area, Washington",earthquake,0.085,0.19,0.04,4,reviewed,uw,uw
2004-12-30T19:40:25.360Z,46.117,15.219,10,2.6,ml,12,69,,0.62,us,usp000dc7t,2014-11-07T01:24:27.597Z,"Slovenia",earthquake,,,,,reviewed,us,zamg
2004-12-30T19:18:04.220Z,2.698,94.389,30,4.9,mwc,81,66.2,,0.92,us,usp000dc7s,2016-11-10T00:57:10.696Z,"off the west coast of northern Sumatra",earthquake,,,,,reviewed,us,hrv
2004-12-30T19:16:50.780Z,51.393,-178.288,11.5,2.7,ml,13,342.1,,,us,usp000dc7r,2019-02-13T02:12:39.484Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,aeic
2004-12-30T18:30:18.200Z,40.78,9.952,10,2.6,ml,10,329.8,,,us,usp000dc7p,2014-11-07T01:24:27.582Z,"Sardinia, Italy",earthquake,,,,,reviewed,ldg,ldg
2004-12-30T18:27:37.250Z,-15.411,167.982,4.6,5,mwc,41,130.2,,0.85,us,usp000dc7n,2016-11-10T00:57:10.191Z,"Vanuatu",earthquake,,52.6,,,reviewed,us,hrv
2004-12-30T18:00:14.000Z,15.974,-100.542,15,3.8,md,6,294.3,,,us,usp000dc7m,2014-11-07T01:24:27.576Z,"off the coast of Guerrero, Mexico",earthquake,,,,,reviewed,unm,unm
2004-12-30T17:58:11.190Z,12.237,92.515,30,5.7,mwc,197,44.4,,0.96,us,usp000dc7k,2016-11-10T00:57:09.659Z,"Andaman Islands, India region",earthquake,,,,,reviewed,us,hrv
2004-12-30T17:34:42.320Z,6.76,92.906,14.1,5.4,mwb,156,54,,0.98,us,usp000dc7j,2016-11-10T00:57:09.157Z,"Nicobar Islands, India region",earthquake,,19.4,,,reviewed,us,us
2004-12-30T16:48:07.510Z,-18.189,-177.901,486,4.4,mb,16,122.6,,0.99,us,usp000dc7g,2014-11-07T01:24:27.536Z,"Fiji region",earthquake,,15.8,,13,reviewed,us,us
2004-12-30T16:20:05.594Z,62.6454,-151.1314,85.9,3.1,ml,,,,0.77,ak,ak004grwswof,2019-02-13T02:12:36.033Z,"Central Alaska",earthquake,,0.9,,,reviewed,ak,ak
2004-12-30T16:18:32.690Z,7.449,94.042,30,4.5,mb,14,166.5,,1.2,us,usp000dc7e,2014-11-07T01:24:27.530Z,"Nicobar Islands, India region",earthquake,,,,10,reviewed,us,us
2004-12-30T16:16:12.290Z,7.686,93.61,30,4.6,mb,13,199.6,,1.35,us,usp000dc7d,2014-11-07T01:24:27.528Z,"Nicobar Islands, India region",earthquake,,,,11,reviewed,us,us
2004-12-30T15:15:21.400Z,-34.53,-71.033,85.7,3.7,md,19,121.7,,,us,usp000dc7c,2014-11-07T01:24:27.525Z,"Libertador General Bernardo O'Higgins, Chile",earthquake,,,,,reviewed,guc,guc
2004-12-30T15:02:18.200Z,9.522,-74.966,42.9,4.8,mb,73,74.5,,1.18,us,usp000dc7b,2014-11-07T01:24:27.517Z,"northern Colombia",earthquake,,11.9,,52,reviewed,us,us
2004-12-30T14:57:25.760Z,8.118,93.694,30,4.6,mb,22,101.1,,1.35,us,usp000dc7a,2014-11-07T01:24:27.514Z,"Nicobar Islands, India region",earthquake,,,,20,reviewed,us,us
2004-12-30T13:29:45.170Z,38.921,141.493,70.8,5,mwc,125,113.1,,0.78,us,usp000dc78,2016-11-10T00:57:08.652Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,hrv
2004-12-30T12:54:13.700Z,-32.201,-71.003,91.3,3.1,md,7,276.7,,,us,usp000dc77,2014-11-07T01:24:27.452Z,"Valparaiso, Chile",earthquake,,,,,reviewed,guc,guc
2004-12-30T11:34:14.890Z,6.384,92.864,30,4.5,mb,13,91.7,,1.22,us,usp000dc76,2014-11-07T01:24:27.450Z,"Nicobar Islands, India region",earthquake,,,,11,reviewed,us,us
2004-12-30T11:26:41.420Z,5.085,94.69,30,4.8,mb,22,168.2,,0.87,us,usp000dc75,2014-11-07T01:24:27.448Z,"northern Sumatra, Indonesia",earthquake,,,,19,reviewed,us,us
2004-12-30T10:59:36.180Z,13.249,92.031,30,4.7,mb,20,155.1,,1.14,us,usp000dc74,2014-11-07T01:24:27.446Z,"Andaman Islands, India region",earthquake,,,,18,reviewed,us,us
2004-12-30T10:32:00.300Z,37.03,28.13,26,3.7,md,6,183.7,,,us,usp000dc73,2014-11-07T01:24:27.445Z,"western Turkey",earthquake,,,,,reviewed,ath,ath
2004-12-30T10:21:44.230Z,53.102,-166.826,11.8,2.9,ml,13,252.3,,,us,usp000dc72,2019-02-13T02:12:32.566Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,aeic
2004-12-30T10:17:26.710Z,-2.349,68.756,10,4.5,mb,11,89.4,,1.62,us,usp000dc71,2014-11-07T01:24:27.441Z,"Carlsberg Ridge",earthquake,,,,12,reviewed,us,us
2004-12-30T09:53:53.350Z,11.35,91.858,3,4.8,mb,30,78.4,,1.06,us,usp000dc70,2014-11-07T01:24:27.438Z,"Andaman Islands, India region",earthquake,,26,,26,reviewed,us,us
2004-12-30T09:40:58.920Z,38.389,135.46,359.3,4.6,mwr,115,76.7,,0.72,us,usp000dc6z,2014-11-07T01:24:27.429Z,"Sea of Japan",earthquake,,3.9,,,reviewed,us,nied
